latitude,longitude,time,speed,acceleration
35.66863333333333,139.83126166666668,2023-07-15 22:49:57,0,0.0
35.66863333333333,139.83126166666668,2023-07-15 22:50:07,0,0.0
35.668593333333334,139.83122666666668,2023-07-15 22:50:17,8,3.0
35.66808833333334,139.831025,2023-07-15 22:50:27,20,-2.0
35.66784,139.83092,2023-07-15 22:50:37,4,0.0
35.667831666666665,139.83091666666667,2023-07-15 22:50:47,0,0.0
35.667831666666665,139.83091666666667,2023-07-15 22:50:57,0,0.0
35.667831666666665,139.83091666666667,2023-07-15 22:51:07,0,0.0
35.667831666666665,139.83091666666667,2023-07-15 22:51:17,0,0.0
35.667714999999994,139.83087166666667,2023-07-15 22:51:27,24,15.0
35.66747833333333,139.83143833333332,2023-07-15 22:51:37,34,3.0
35.66721666666667,139.83229666666665,2023-07-15 22:51:47,14,-7.0
35.66719,139.83238666666668,2023-07-15 22:51:57,0,0.0
35.66717833333333,139.83242,2023-07-15 22:52:07,5,1.0
35.66717,139.832455,2023-07-15 22:52:17,0,0.0
35.66737666666667,139.83266,2023-07-15 22:52:27,22,1.0
35.66790666666667,139.83289666666664,2023-07-15 22:52:37,18,-1.0
35.668155272723816,139.83299820135747,2023-07-15 22:52:47,7,-7.0
35.668016666666674,139.833585,2023-07-15 22:52:57,25,0.0
35.66775333333333,139.83444,2023-07-15 22:53:07,33,-3.0
35.667413333333336,139.83555666666666,2023-07-15 22:53:17,39,-2.0
35.66707666666667,139.83664,2023-07-15 22:53:27,35,0.0
35.666781666666665,139.8376,2023-07-15 22:53:37,26,-1.0
35.66673333333333,139.83776500000002,2023-07-15 22:53:47,0,0.0
35.66673333333333,139.83776500000002,2023-07-15 22:53:57,0,0.0
35.66673333333333,139.83776500000002,2023-07-15 22:54:07,0,0.0
35.66673333333333,139.83776500000002,2023-07-15 22:54:17,0,0.0
35.66666166666666,139.83800333333332,2023-07-15 22:54:27,13,-1.0
35.666338333333336,139.83807000000002,2023-07-15 22:54:37,6,-3.0
35.666325,139.83806666666666,2023-07-15 22:54:47,0,0.0
35.666325,139.83806666666666,2023-07-15 22:54:57,0,0.0
35.666325,139.83806666666666,2023-07-15 22:55:07,0,0.0
35.666325,139.83806666666666,2023-07-15 22:55:17,0,0.0
35.666325,139.83806666666666,2023-07-15 22:55:27,0,0.0
35.666325,139.83806666666666,2023-07-15 22:55:37,0,0.0
35.666325,139.83806666666666,2023-07-15 22:55:47,0,0.0
35.666325,139.83806666666666,2023-07-15 22:55:57,0,0.0
35.666288333333334,139.83805666666666,2023-07-15 22:56:07,8,4.0
35.666066666666666,139.83795833333335,2023-07-15 22:56:17,2,1.0
35.66590333333333,139.83711833333334,2023-07-15 22:56:27,41,5.0
35.66602666666667,139.83581833333335,2023-07-15 22:56:37,47,3.0
35.66648,139.834275,2023-07-15 22:56:47,54,0.0
35.66698333333333,139.83259666666666,2023-07-15 22:56:57,61,1.0
35.667413333333336,139.83120833333334,2023-07-15 22:57:07,26,-8.0
35.66747833333333,139.83101166666665,2023-07-15 22:57:17,0,0.0
35.66747833333333,139.83101166666665,2023-07-15 22:57:27,0,0.0
35.66747833333333,139.83101166666665,2023-07-15 22:57:37,0,0.0
35.66747833333333,139.83101166666665,2023-07-15 22:57:47,0,0.0
35.66747833333333,139.83101166666665,2023-07-15 22:57:57,0,0.0
35.66747833333333,139.83101166666665,2023-07-15 22:58:07,0,0.0
35.66758333333333,139.83069666666668,2023-07-15 22:58:17,21,-1.0
35.667965,139.829665,2023-07-15 22:58:27,44,2.0
35.66881333333333,139.82878,2023-07-15 22:58:37,46,-1.0
35.66971,139.82773500000002,2023-07-15 22:58:47,53,1.0
35.66987833333334,139.82637,2023-07-15 22:58:57,29,-6.0
35.669885,139.82609666666667,2023-07-15 22:59:07,1,1.0
35.66990666666666,139.82553166666668,2023-07-15 22:59:17,26,3.0
35.669891666666665,139.82528666666667,2023-07-15 22:59:27,8,7.0
35.66987666666667,139.82449833333334,2023-07-15 22:59:37,37,3.0
35.66981166666667,139.82312666666667,2023-07-15 22:59:47,42,-3.0
35.66977333333334,139.82232833333333,2023-07-15 22:59:57,14,-1.0
35.66976833333333,139.82221,2023-07-15 23:00:07,0,0.0
35.66976833333333,139.82221,2023-07-15 23:00:17,0,0.0
35.66973833333333,139.82165666666666,2023-07-15 23:00:27,30,3.0
35.66970166666667,139.82049833333332,2023-07-15 23:00:37,42,2.0
35.669639999999994,139.81907666666666,2023-07-15 23:00:47,48,-1.0
35.66958666666667,139.81752,2023-07-15 23:00:57,50,-1.0
35.669509999999995,139.81605499999998,2023-07-15 23:01:07,24,0
35.66942833333333,139.81438333333332,2023-07-15 23:01:17,63,9.0
35.66939833333333,139.813465,2023-07-15 23:01:27,7,-4.0
35.669396666666664,139.81341666666668,2023-07-15 23:01:37,0,0.0
35.669396666666664,139.81341666666668,2023-07-15 23:01:47,0,0.0
35.669396666666664,139.81341666666668,2023-07-15 23:01:57,0,0.0
35.66940666666667,139.813145,2023-07-15 23:02:07,16,2.0
35.669365,139.812225,2023-07-15 23:02:17,35,-1.0
35.66932333333333,139.81118166666664,2023-07-15 23:02:27,33,-2.0
35.669295000000005,139.81013,2023-07-15 23:02:37,35,0.0
35.66928333333334,139.8090083333333,2023-07-15 23:02:47,35,-1.0
35.66931666666667,139.80795166666667,2023-07-15 23:02:57,40,4.0
35.66936833333333,139.80679833333332,2023-07-15 23:03:07,34,-1.0
35.66943833333333,139.805935,2023-07-15 23:03:17,18,-3.0
35.669898333333336,139.80586166666666,2023-07-15 23:03:27,32,5.0
35.670719999999996,139.806035,2023-07-15 23:03:37,29,-2.0
35.67147166666667,139.80619833333333,2023-07-15 23:03:47,25,-5.0
35.671598333333336,139.80621833333336,2023-07-15 23:03:57,0,0.0
35.671598333333336,139.80621833333336,2023-07-15 23:04:07,0,0.0
35.671598333333336,139.80621833333336,2023-07-15 23:04:17,0,0.0
35.671598333333336,139.80621833333336,2023-07-15 23:04:27,0,0.0
35.671598333333336,139.80621833333336,2023-07-15 23:04:37,0,0.0
35.671643333333336,139.80622666666667,2023-07-15 23:04:47,8,2.0
35.672133333333335,139.806315,2023-07-15 23:04:57,24,0.0
35.672785,139.80640999999997,2023-07-15 23:05:07,32,-1.0
35.67365666666667,139.806535,2023-07-15 23:05:17,35,1.0
35.67458166666667,139.80668833333334,2023-07-15 23:05:27,35,-2.0
35.675065000000004,139.80678833333334,2023-07-15 23:05:37,4,-1.0
35.675066666666666,139.80678833333334,2023-07-15 23:05:47,0,0.0
35.675066666666666,139.80678833333334,2023-07-15 23:05:57,0,0.0
35.675066666666666,139.80678833333334,2023-07-15 23:06:07,0,0.0
35.675066666666666,139.80678833333334,2023-07-15 23:06:17,0,0.0
35.675066666666666,139.80678833333334,2023-07-15 23:06:27,0,0.0
35.675066666666666,139.80678833333334,2023-07-15 23:06:37,0,0.0
35.67527666666667,139.80683833333333,2023-07-15 23:06:47,13,3.0
35.675354999999996,139.80665,2023-07-15 23:06:57,27,2.0
35.67532833333333,139.80590333333333,2023-07-15 23:07:07,22,-4.0
35.6753,139.80525333333333,2023-07-15 23:07:17,16,-1.0
35.675285,139.80512,2023-07-15 23:07:27,0,0.0
35.675285,139.80512,2023-07-15 23:07:37,0,0.0
35.675285,139.80512,2023-07-15 23:07:47,0,0.0
35.675285,139.80512,2023-07-15 23:07:57,0,0.0
35.675288333333334,139.80483166666667,2023-07-15 23:08:07,16,-27.0
35.67525,139.8044383333333,2023-07-15 23:08:17,4,0.0
35.674889926556,139.8044357743778,2023-07-15 23:08:27,13,-2.0
35.67454398623183,139.80436103161142,2023-07-15 23:08:37,7,-2.0
35.674488203563406,139.8043507313613,2023-07-15 23:08:47,0,0.0
35.67448666666667,139.804045,2023-07-15 23:08:57,17,4.0
35.67452333333333,139.80374333333333,2023-07-15 23:09:07,2,-2.0
35.674525,139.80372333333335,2023-07-15 23:09:17,0,0.0
35.67475833333333,139.80373666666668,2023-07-15 23:09:27,15,1.0
35.67509666666667,139.80383333333333,2023-07-15 23:09:37,9,-1.0
35.67514333333333,139.80384666666666,2023-07-15 23:09:47,0,-2.0
