latitude,longitude,time,speed,acceleration
35.939558758433954,139.64711244231057,2023-11-23 04:13:54,0,-1.0
35.93955087944498,139.64710967628253,2023-11-23 04:14:04,1,0.0
35.93959195200094,139.64717874276627,2023-11-23 04:14:14,21,20.0
35.93957028615451,139.6471822651415,2023-11-23 04:14:24,0,-1.0
35.93956074955157,139.64720164774866,2023-11-23 04:14:34,1,0.0
35.939567089460844,139.64718744225252,2023-11-23 04:14:44,0,0.0
35.939579199306564,139.64717163358404,2023-11-23 04:14:54,1,0.0
35.93988170811017,139.6472103653286,2023-11-23 04:15:04,19,-2.0
35.93998309221532,139.6473054449137,2023-11-23 04:15:14,1,-1.0
35.93964691162109,139.6473277670068,2023-11-23 04:15:24,24,0.0
35.93943075581297,139.647324464043,2023-11-23 04:15:34,1,-2.0
35.939428430404696,139.6473358262024,2023-11-23 04:15:44,0,0.0
35.93938314557744,139.64672783902765,2023-11-23 04:15:54,34,0.0
35.93944141077239,139.64567617663442,2023-11-23 04:16:04,17,-9.0
35.93944287452517,139.64559983416027,2023-11-23 04:16:14,0,0.0
35.93944035464152,139.6455982938366,2023-11-23 04:16:24,0,0.0
35.93944035464152,139.6455982938366,2023-11-23 04:16:34,0,0.0
35.93944035464152,139.6455982938366,2023-11-23 04:16:44,0,0.0
35.939429390318644,139.64543975913122,2023-11-23 04:16:54,11,-4.0
35.938633096890136,139.64556801120438,2023-11-23 04:17:04,40,1.0
35.93758771342142,139.64584339575623,2023-11-23 04:17:14,34,-4.0
35.93723323415834,139.64590561026822,2023-11-23 04:17:24,13,4.0
35.93639626972679,139.64596849486182,2023-11-23 04:17:34,41,1.0
35.93521750482115,139.64604725577144,2023-11-23 04:17:44,51,2.0
35.933792023033696,139.64614285918765,2023-11-23 04:17:54,59,-3.0
35.93231084980448,139.64604345655098,2023-11-23 04:18:04,60,1.0
35.930816325752474,139.64584125383524,2023-11-23 04:18:14,58,0.0
35.92937393909547,139.6461493528164,2023-11-23 04:18:24,61,2.0
35.92773918105569,139.64654101865946,2023-11-23 04:18:34,64,1.0
35.92621091197384,139.646941726972,2023-11-23 04:18:44,62,0.0
35.92477610764534,139.64764324397478,2023-11-23 04:18:54,61,0.0
35.92338291447282,139.64855804731909,2023-11-23 04:19:04,64,1.0
35.922162904294225,139.64971129127895,2023-11-23 04:19:14,57,-1.0
35.921201673230044,139.65054495136926,2023-11-23 04:19:24,35,-2.0
35.92089139653517,139.65076325735706,2023-11-23 04:19:34,0,-1.0
35.92089010500021,139.6507694936862,2023-11-23 04:19:44,0,0.0
35.92089010500021,139.6507694936862,2023-11-23 04:19:54,0,0.0
35.92089010500021,139.6507694936862,2023-11-23 04:20:04,0,0.0
35.920679699474896,139.6509018353095,2023-11-23 04:20:14,26,4.0
35.91960925637143,139.65130886590978,2023-11-23 04:20:24,54,0.0
35.91821210682844,139.6518528845028,2023-11-23 04:20:34,60,0.0
35.91673896559302,139.65229329722678,2023-11-23 04:20:44,59,0.0
35.915223406727115,139.6523800883986,2023-11-23 04:20:54,59,-1.0
35.91369116789115,139.65275000562127,2023-11-23 04:21:04,64,0.0
35.912059399375565,139.65318760999784,2023-11-23 04:21:14,67,0.0
35.9104078200646,139.65358585630202,2023-11-23 04:21:24,67,0.0
35.90903040913794,139.6539694786144,2023-11-23 04:21:34,38,-5.0
35.90873650454152,139.6540918091018,2023-11-23 04:21:44,0,0.0
35.90872879903596,139.65408850769322,2023-11-23 04:21:54,0,0.0
35.90872879903596,139.65408850769322,2023-11-23 04:22:04,0,0.0
35.90867993535308,139.65411328101516,2023-11-23 04:22:14,12,7.0
35.9079085535946,139.65460931386056,2023-11-23 04:22:24,44,0.0
35.90674630056522,139.6556082455185,2023-11-23 04:22:34,67,2.0
35.905402568337124,139.65678525817262,2023-11-23 04:22:44,66,0.0
35.904023756536496,139.6579918446574,2023-11-23 04:22:54,65,-1.0
35.90269379007975,139.6591599516409,2023-11-23 04:23:04,66,1.0
35.9012666841378,139.6604091911287,2023-11-23 04:23:14,74,1.0
35.89986259501144,139.66163421464233,2023-11-23 04:23:24,67,0.0
35.89833282770126,139.66246440866354,2023-11-23 04:23:34,54,-14.0
35.896995704860025,139.66291818474943,2023-11-23 04:23:44,57,-1.0
35.8957668212953,139.6633177671229,2023-11-23 04:23:54,35,-4.0
35.89546352166176,139.66340148640384,2023-11-23 04:24:04,0,0.0
35.895461216956456,139.66340082872554,2023-11-23 04:24:14,0,0.0
35.895461216956456,139.66340082872554,2023-11-23 04:24:24,0,0.0
35.895461216956456,139.66340082872554,2023-11-23 04:24:34,0,0.0
35.895461216956456,139.66340082872554,2023-11-23 04:24:44,0,0.0
35.895461216956456,139.66340082872554,2023-11-23 04:24:54,0,0.0
35.89530818913681,139.66343904155264,2023-11-23 04:25:04,18,0.0
35.895044655591526,139.66280705647162,2023-11-23 04:25:14,33,1.0
35.8948070270808,139.66184653965803,2023-11-23 04:25:24,35,3.0
35.8945703541147,139.6604647062001,2023-11-23 04:25:34,52,2.0
35.8943615495459,139.65856746224327,2023-11-23 04:25:44,70,2.0
35.89465518903032,139.65630751360945,2023-11-23 04:25:54,78,1.0
35.89565971201718,139.65411640483168,2023-11-23 04:26:04,83,1.0
35.896765176433306,139.65198267012633,2023-11-23 04:26:14,81,0.0
35.89754608723768,139.64968932669356,2023-11-23 04:26:24,82,1.0
35.897656112077165,139.647228470297,2023-11-23 04:26:34,81,1.0
35.89694719624973,139.64475634051485,2023-11-23 04:26:44,86,-1.0
35.89614644707911,139.64227711996742,2023-11-23 04:26:54,85,0.0
