latitude,longitude,timestamp
34.862537411532976,136.45585465528177,2023-09-30 07:10:27 +0000
34.86255836997462,136.45576552850486,2023-09-30 07:10:28 +0000
34.86257853336818,136.45567703667658,2023-09-30 07:10:29 +0000
34.862595695583146,136.4555974460302,2023-09-30 07:10:30 +0000
34.862612806836125,136.45552414564978,2023-09-30 07:10:31 +0000
34.862625490044266,136.45546458463795,2023-09-30 07:10:32 +0000
34.86263475134775,136.45541729395853,2023-09-30 07:10:33 +0000
34.86264249690677,136.4553814145182,2023-09-30 07:10:34 +0000
34.862647551285974,136.4553554797614,2023-09-30 07:10:35 +0000
34.86265269542295,136.45533376530037,2023-09-30 07:10:36 +0000
34.862655698390256,136.4553182396806,2023-09-30 07:10:37 +0000
34.86265713583706,136.4553115724278,2023-09-30 07:10:38 +0000
34.862656429029386,136.45531432491705,2023-09-30 07:10:39 +0000
34.86265603352145,136.4553137313731,2023-09-30 07:10:40 +0000
34.86265653722141,136.45530828375072,2023-09-30 07:10:41 +0000
34.862656900665,136.45530622992172,2023-09-30 07:10:42 +0000
34.86265721705828,136.45530534740493,2023-09-30 07:10:43 +0000
34.862657058481965,136.4553060310807,2023-09-30 07:10:44 +0000
34.862657347984815,136.45530548603435,2023-09-30 07:10:45 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:46 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:47 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:48 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:49 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:50 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:51 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:52 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:53 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:54 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:55 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:56 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:57 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:58 +0000
34.86265734144187,136.45530551041387,2023-09-30 07:10:59 +0000
34.86266255926297,136.4553008032757,2023-09-30 07:11:00 +0000
34.86266432092335,136.45529457833572,2023-09-30 07:11:01 +0000
34.86266851661181,136.4552764628763,2023-09-30 07:11:02 +0000
34.862673392956474,136.45525358847593,2023-09-30 07:11:03 +0000
34.86267843483812,136.45523118597407,2023-09-30 07:11:04 +0000
34.862685828450005,136.4551974377964,2023-09-30 07:11:05 +0000
34.862694983673215,136.45515245780862,2023-09-30 07:11:06 +0000
34.862705841369966,136.45510255062814,2023-09-30 07:11:07 +0000
34.86271881924482,136.4550451975435,2023-09-30 07:11:08 +0000
34.86273333671138,136.45497793407287,2023-09-30 07:11:09 +0000
34.86274984489544,136.45490366330213,2023-09-30 07:11:10 +0000
34.86276831645689,136.45482013394346,2023-09-30 07:11:11 +0000
34.86278943791312,136.45472737859214,2023-09-30 07:11:12 +0000
34.86281204102946,136.45462695832185,2023-09-30 07:11:13 +0000
34.86283656295451,136.4545197760341,2023-09-30 07:11:14 +0000
34.862863816754874,136.45440507023864,2023-09-30 07:11:15 +0000
34.86289326234471,136.45428510419225,2023-09-30 07:11:16 +0000
34.8629216706409,136.45416225752967,2023-09-30 07:11:17 +0000
34.86294988413972,136.4540400567843,2023-09-30 07:11:18 +0000
34.86297833355578,136.45391280670736,2023-09-30 07:11:19 +0000
34.863007799960116,136.45377948190992,2023-09-30 07:11:20 +0000
34.863040922397424,136.45363939726892,2023-09-30 07:11:21 +0000
34.863074259144994,136.45349505422877,2023-09-30 07:11:22 +0000
